PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Bhatti, A; Rehman, SU; Abu Rumman, JB				Bhatti, Anam; Rehman, Shafique Ur; Abu Rumman, Jumana Basheer			Organizational capabilities mediates between organizational culture, entrepreneurial orientation, and organizational performance of SMEs in Pakistan	ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW																	Bhatti, Anam/AAR-7805-2020; Rehman, Shafique Ur/AAP-7298-2020	Bhatti, Anam/0000-0001-9457-6016; Rehman, Shafique Ur/0000-0002-2392-1289													2353-883X	2353-8821				DEC	2020	8	4					85	103		10.15678/EBER.2020.080405	http://dx.doi.org/10.15678/EBER.2020.080405													WOS:000601168300005
J	Naveed, RT; Alhaidan, H; Al Halbusi, H; Al-Swidi, AK				Naveed, Rana Tahir; Alhaidan, Homoud; Al Halbusi, Hussam; Al-Swidi, Abdullah Kaid			Do organizations really evolve? The critical link between organizational culture and organizational innovation toward organizational effectiveness: Pivotal role of organizational resistance	JOURNAL OF INNOVATION & KNOWLEDGE																	Al Halbusi, Hussam/L-4572-2017	Al Halbusi, Hussam/0000-0003-0022-7718; Al-Swidi, Abdullah/0000-0002-1718-0269													2530-7614	2444-569X				APR-JUN	2022	7	2							100178	10.1016/j.jik.2022.100178	http://dx.doi.org/10.1016/j.jik.2022.100178													WOS:000792483600008
J	Kalamaki, FR; Mahmoudi, G; Charati, JY				Kalamaki, Fatemeh Rasooly; Mahmoudi, Ghahraman; Charati, Jamshid Yazdani			A Model for Organizational Entrepreneurship with Organizational Culture Approach in Iran's Teaching Hospitals	ETHIOPIAN JOURNAL OF HEALTH SCIENCES																	Mahmoudi, Ghahraman/Q-6915-2017	Mahmoudi, Ghahraman/0000-0003-3769-4379													1029-1857	2413-7170				MAR	2021	31	2					419	428		10.4314/ejhs.v31i2.25	http://dx.doi.org/10.4314/ejhs.v31i2.25								34158794					WOS:000744193700023
J	Cosmin, D; Ruxandra, D; Cristina, D				Cosmin, Dobrin; Ruxandra, Dinulescu; Cristina, Dima			EVALUATING THE ORGANIZATIONAL CULTURE FROM ROMANIAN PRIVATE COMPANIES USING THE ORGANIZATIONAL CULTURE ASSESSMENT INSTRUMENT (OCAI)	STUDIES IN BUSINESS AND ECONOMICS																															1842-4120	2344-5416				DEC 1	2021	16	3					60	71		10.2478/sbe-2021-0045	http://dx.doi.org/10.2478/sbe-2021-0045													WOS:000746434400005
J	Koc, Y; Gulseren, D; Lyubykh, Z				Koc, Yasin; Gulseren, Duygu; Lyubykh, Zhanna			Masculinity Contest Culture Reduces Organizational Citizenship Behaviors Through Decreased Organizational Identification	JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED																	Biricik Gulseren, Duygu/ABA-4993-2021; Koc, Yasin/Y-4811-2019	Koc, Yasin/0000-0002-6727-3842													1076-898X	1939-2192				JUN	2021	27	2					408	416		10.1037/xap0000351	http://dx.doi.org/10.1037/xap0000351								33734735					WOS:000674220500015
J	Melnyk, A; Lepeyko, T; Myronova, O; Mazorenko, O				Melnyk, Anton; Lepeyko, Tetyana; Myronova, Olga; Mazorenko, Oksana			Formation of Organizational Culture: Motivative Approach	ESTUDIOS DE ECONOMIA APLICADA																	Mazorenko, Oksana/U-9796-2017; Myronova, Olga Mykolayivna/U-9048-2017	Mazorenko, Oksana/0000-0003-1784-697X; Myronova, Olga Mykolayivna/0000-0002-3188-2881													1133-3197	1697-5731					2021	39	7			SI					10.25115/eea.v39i7.4939	http://dx.doi.org/10.25115/eea.v39i7.4939													WOS:000675774900008
J	Tulcanaza-Prieto, AB; Aguilar-Rodriguez, IE; Artieda, C				Tulcanaza-Prieto, Ana Belen; Aguilar-Rodriguez, Iliana E.; Artieda, Carlos			Organizational Culture and Corporate Performance in the Ecuadorian Environment	ADMINISTRATIVE SCIENCES																		Aguilar Rodriguez, Iliana Elizabeth/0000-0003-3627-9077; Artieda Cajilema, Carlos Hernan/0000-0003-4508-8272; Tulcanaza-Prieto, Ana Belen/0000-0002-9201-6848														2076-3387				DEC	2021	11	4							132	10.3390/admsci11040132	http://dx.doi.org/10.3390/admsci11040132													WOS:000735673400001
J	Cucek, M; Kac, SM				Cucek, Mateja; Kac, Sonja Mlaker			ORGANIZATIONAL CULTURE IN LOGISTICS SECTOR AND ITS RELATION TO EMPLOYEE SATISFACTION	MANAGEMENT-JOURNAL OF CONTEMPORARY MANAGEMENT ISSUES																		Cucek, Mateja/0000-0002-6346-4123													1331-0194	1846-3363				DEC	2020	25	2					165	180		10.30924/mjcmi.25.2.9	http://dx.doi.org/10.30924/mjcmi.25.2.9													WOS:000602684700009
J	Marcon, CS; Urpia, AGBD; Macuch, R				Marcon, Catia Sirlene; Barcelar da Cruz Urpia, Arthur Gualberto; Macuch, Regiane			THE ROLE OF THE INDIVIDUAL FOR ORGANIZATIONAL CULTURE	REVISTA DE CIENCIAS HUMANAS DA UNIVERSIDADE DE TAUBATE																	da Silva Macuch, Regiane/P-2168-2014	da Silva Macuch, Regiane/0000-0002-2277-319X													2179-1120						2021	14	1					1	8		10.32813/2179-1120.2021.v14.n1.a718	http://dx.doi.org/10.32813/2179-1120.2021.v14.n1.a718													WOS:000742758300001
J	Costa, J; Rodrigues, AC; Ferreira, MR				Costa, Joana; Rodrigues, Ana C.; Ferreira, Marisa R.			ORGANIZATIONAL CULTURE IN SOCIAL ECONOMY ORGANIZATIONS	ECONOMICS & SOCIOLOGY																	Ferreira, Marisa R./AAD-5901-2022	Ferreira, Marisa R./0000-0003-4194-9127; Rodrigues, Ana C./0000-0002-6238-1385													2071-789X	2306-3459					2020	13	3					155	170		10.14254/2071-789X.2020/13-3/10	http://dx.doi.org/10.14254/2071-789X.2020/13-3/10													WOS:000576584500010
J	Amtu, O; Souisa, SL; Joseph, LS; Lumamuly, PC				Amtu, Onisimus; Souisa, Sjeny Liza; Joseph, Lourine Sience; Lumamuly, Pitersina Christina			CONTRIBUTION OF LEADERSHIP, ORGANIZATIONAL COMMITMENT AND ORGANIZATIONAL CULTURE TO IMPROVE THE QUALITY OF HIGHER EDUCATION	INTERNATIONAL JOURNAL OF INNOVATION																	Amtu, Onisimus/ABE-6761-2021														2318-9975					JAN-APR	2021	9	1					131	157		10.5585/iji.v9i1.18582	http://dx.doi.org/10.5585/iji.v9i1.18582													WOS:000644666000006
J	Goula, A; Stamouli, MA; Latsou, D; Gkioka, V; Kyriakidou, N				Goula, Aspasia; Stamouli, Maria-Aggeliki; Latsou, Dimitra; Gkioka, Vasiliki; Kyriakidou, Niki			Learning Organizational Culture in Greek Public Hospitals	INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH																	Goula, Aspasia/AAR-3018-2021; Latsou, Dimitra/AAS-4659-2021; STAMOULI, M.A./AAP-8316-2021	STAMOULI, M.A./0000-0003-3700-4489; Latsou, Dimitra/0000-0002-9451-0102; Goula, Aspasia/0000-0003-4246-9627														1660-4601				FEB	2021	18	4							1867	10.3390/ijerph18041867	http://dx.doi.org/10.3390/ijerph18041867								33672977					WOS:000623530200001
J	Luu, HN; Nguyen, LH; Wilson, JOS				Luu, Hiep N.; Nguyen, Linh H.; Wilson, John O. S.			Organizational culture, competition and bank loan loss provisioning	EUROPEAN JOURNAL OF FINANCE																		Wilson, John O.S./0000-0002-9554-9332; Nguyen, Linh/0000-0003-0956-4227													1351-847X	1466-4364															10.1080/1351847X.2022.2053732	http://dx.doi.org/10.1080/1351847X.2022.2053732		APR 2022											WOS:000777900900001
J	Jukic, D				Jukic, Dinko			The Role of Teacher and Organizational Culture in School Management	STRATEGIC MANAGEMENT																		Jukic, Dinko/0000-0002-5595-4245													1821-3448	2334-6191															10.5937/StraMan2200009J	http://dx.doi.org/10.5937/StraMan2200009J		MAR 2022											WOS:000796511700001
J	Srisathan, WA; Ketkaew, C; Naruetharadhol, P				Srisathan, W. A.; Ketkaew, C.; Naruetharadhol, P.			The intervention of organizational sustainability in the effect of organizational culture on open innovation performance: A case of thai and chinese SMEs	COGENT BUSINESS & MANAGEMENT																	Naruetharadhol, Phaninee/AAK-1651-2020; Srisathan, Wutthiya/AAP-3119-2021; Ketkaew, Chavis/N-3535-2018	Naruetharadhol, Phaninee/0000-0001-7158-0581; Ketkaew, Chavis/0000-0003-3506-3725; Srisathan, Wutthiya Aekthanate/0000-0003-3820-9937													2331-1975					JAN 1	2020	7	1							1717408	10.1080/23311975.2020.1717408	http://dx.doi.org/10.1080/23311975.2020.1717408													WOS:000509671700001
J	Marcos, A; Garcia-Ael, C; Topa, G				Marcos, Alexandra; Garcia-Ael, Cristina; Topa, Gabriela			The Influence of Work Resources, Demands, and Organizational Culture on Job Satisfaction, Organizational Commitment, and Citizenship Behaviors of Spanish Police Officers	INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH																	Ael, Cristina García/L-1099-2017; Topa, Gabriela/L-9061-2014	Ael, Cristina García/0000-0002-9460-9268; Marcos Lorenzo, Alexandra/0000-0003-1929-411X; Topa, Gabriela/0000-0002-9181-8603														1660-4601				OCT	2020	17	20							7607	10.3390/ijerph17207607	http://dx.doi.org/10.3390/ijerph17207607								33086619					WOS:000585585400001
J	Klimecka-Tatar, D; Niciejewska, M				Klimecka-Tatar, Dorota; Niciejewska, Marta			SMALL-SIZED ENTERPRISES MANAGEMENT IN THE ASPECT OF ORGANIZATIONAL CULTURE	REVISTA GESTAO & TECNOLOGIA-JOURNAL OF MANAGEMENT AND TECHNOLOGY																	Klimecka-Tatar, Dorota/AAR-1371-2021	Klimecka-Tatar, Dorota/0000-0001-6212-6061; Niciejewska, Marta/0000-0002-9530-3455													1677-9479	2177-6652				JAN-MAR	2021	21	1					4	24		10.20397/2177-6652/2021.v21i1.2023	http://dx.doi.org/10.20397/2177-6652/2021.v21i1.2023													WOS:000629423400002
J	Alsaqqa, HH				Alsaqqa, Hatem H.			Assessment of organizational culture types in Gaza Strip hospitals	SAUDE E SOCIEDADE																	Alsaqqa, Hatem/AAM-4740-2021	Alsaqqa, Hatem/0000-0002-7440-1005													0104-1290	1984-0470					2020	29	4							e191016	10.1590/S0104-12902020191016	http://dx.doi.org/10.1590/S0104-12902020191016													WOS:000631431300001
J	Mutonyi, BR; Slatten, T; Lien, G; Gonzalez-Pinero, M				Mutonyi, Barbara Rebecca; Slatten, Terje; Lien, Gudbrand; Gonzalez-Pinero, Manel			The impact of organizational culture and leadership climate on organizational attractiveness and innovative behavior: a study of Norwegian hospital employees	BMC HEALTH SERVICES RESEARCH																																1472-6963				MAY 13	2022	22	1							637	10.1186/s12913-022-08042-x	http://dx.doi.org/10.1186/s12913-022-08042-x								35562748					WOS:000795563600001
J	Torres, LL				Torres, Leonor L.			School Organizational Culture and Leadership: Theoretical Trends and New Analytical Proposals	EDUCATION SCIENCES																		Lima Torres, Leonor/0000-0003-4316-4462														2227-7102				APR	2022	12	4							254	10.3390/educsci12040254	http://dx.doi.org/10.3390/educsci12040254													WOS:000785307400001
J	Acimovic, S; Mijuskovic, VM; Spasenic, AT				Acimovic, Slobodan; Mijuskovic, Veljko M.; Spasenic, Ana Todorovic			THE INFLUENCE OF ORGANIZATIONAL CULTURE ON SUPPLY CHAIN INTEGRATION	SERBIAN JOURNAL OF MANAGEMENT																		Mijuskovic, Veljko/0000-0002-0668-8614													1452-4864						2021	16	1					161	180		10.5937/sjm16-30007	http://dx.doi.org/10.5937/sjm16-30007													WOS:000659106500010
